Body name,Body,"Request ref","Request summary","Receipt date","Complete date","Derived working days","Outcome","Service area"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102956","The question is around international recruitment.",09/11/2010 00:00:00,24/11/2010 00:00:00,11,"Information Provided","Human Resources (Finance and Resources)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102955","Information re the Redbridge Card",09/11/2010 00:00:00,24/11/2010 00:00:00,11,"Information Provided","Corporate request"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102963","Evaluation of arts projects (including, but not limited to, public art, art workshops, music, plays, cinema, festivals and other such projects) that the local council has funded since 2007.",10/11/2010 00:00:00,22/11/2010 00:00:00,8,"Information Provided","Culture, Sport & Community Learning (Housing & Community Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102958","Information on complaints regarding rough sleepers",10/11/2010 00:00:00,22/11/2010 00:00:00,8,"Information not held","Housing (Housing & Community Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102959","costs of advertisements and notices and council publications",10/11/2010 00:00:00,16/11/2010 00:00:00,4,"Partial Information Provided","Financial Services (Finance and Resources)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102957","Information regarding staff and member awaydays",10/11/2010 00:00:00,17/11/2010 00:00:00,5,"Partial Information Provided","Corporate request"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102962","information about incidents of teachers or other authorised members of school staff using force in schools under Section 550A of the Education Act 1996.",10/11/2010 00:00:00,10/12/2010 00:00:00,22,"Information Provided","Childrens Services (Childrens Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102961","Please release the number of out-of-court settlements agreed by your organisation in each of the last five years.",10/11/2010 00:00:00,,0,"","Legal & Constitutional Services (Borough Secretary and Solicitor)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102967","information on computer use",11/11/2010 00:00:00,03/12/2010 00:00:00,16,"Information Provided","Information & Communication Technology (Finance and Resources)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102970","information regarding your Adoption and Foster Caring Services:",11/11/2010 00:00:00,09/12/2010 00:00:00,20,"Information Provided","Childrens Trust (Childrens Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102971","Bonavacantia cases since April 2010",11/11/2010 00:00:00,23/11/2010 00:00:00,8,"Information already available elsewhere","Corporate request"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102964","All requests made regarding ICT over last 2 years.",11/11/2010 00:00:00,29/11/2010 00:00:00,12,"Withdrawn","Information & Communication Technology (Finance and Resources)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102965","Information regarding ICT service area",11/11/2010 00:00:00,29/11/2010 00:00:00,12,"Withdrawn","Information & Communication Technology (Finance and Resources)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102966","Information on ict data cerntre",11/11/2010 00:00:00,29/11/2010 00:00:00,12,"Withdrawn","Information & Communication Technology (Finance and Resources)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102968","Q1) Please can you tell me the number of sites where you keep servers? Q2) For each site, please can you list the number of servers by operating system (eg Sun/Solaris, IBM/AIX, IBM iOS, IBM MVS, HP VMS, HP-UX, or other), plus contact details for the IT person responsible for that site.",11/11/2010 00:00:00,29/11/2010 00:00:00,12,"Withdrawn","Information & Communication Technology (Finance and Resources)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102969","Information re printers and computers",11/11/2010 00:00:00,29/11/2010 00:00:00,12,"Withdrawn","Information & Communication Technology (Finance and Resources)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102972","information about the independent review officer function for statutory reviews of children looked after by the authority.",12/11/2010 00:00:00,09/12/2010 00:00:00,19,"Partial Information Provided","Childrens Trust (Childrens Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102974","information regarding education outside school.",12/11/2010 00:00:00,08/12/2010 00:00:00,18,"Information Provided","Childrens Services (Childrens Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102977","Information on sustainable drainage systems",13/11/2010 00:00:00,01/12/2010 00:00:00,12,"Partial Information Provided","Highways and Engineering Services (Environment & Regeneration)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102976","Information on construction framework contracts - Redbridge Homes",13/11/2010 00:00:00,26/11/2010 00:00:00,9,"Information Provided","Redbridge Homes (Housing & Community Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102982","Information on National Healthy Schools Programme",16/11/2010 00:00:00,22/11/2010 00:00:00,4,"Information Provided","Childrens Services (Childrens Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102980","information regarding public space projects 2008-2009",16/11/2010 00:00:00,23/11/2010 00:00:00,5,"Information Provided","Culture, Sport & Community Learning (Housing & Community Services)"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102983","How much money the Local Authority has spent, in each year from 2004 onwards, on Nintendo Products and Nintendo Software, i.e. games for the Nintendo DS or DS Lite",16/11/2010 00:00:00,17/11/2010 00:00:00,1,"Fees notice issued","Corporate request"
"London Borough of Redbridge","http://statistics.data.gov.uk/doc/local-authority/00BC","RFI-102981","We would be grateful if you could answer the following question under the Freedom of Information Act 2000. Please could you confirm the following details regarding the Council's contract(s) for the supply of temporary & permanent workers? 1 The 12 month Spend Under Management (using the most recently available data) .",16/11/2010 00:00:00,16/11/2010 00:00:00,0,"Withdrawn","Human Resources (Finance and Resources)"
